Id;Nombre;Pais
1;Walt Disney Pictures;3
2;Warner Bros;3
3;Universal Pictures;3
4;Estudios Boulogne-Billancourt;8
5;Escuela de Cinematografía y del Audiovisual de la Comunidad de Madrid;5
6;Rome University of Fine Art;6
7;Universidad de Cine de Babelsberg Konrad Wolf;7
8;Festival Internacional de Cine de El Cairo;9
9;Escuela Sudafricana de Medios Cinematográficos y Actuaciones en Vivo;10
10;Estudio de Cine Atlas;11
11;Universidad de Melbourne;12
12;SAE Institute New Zealand;13
13;Magik;14
14;Jax Film Studios en Riad;15
15;Academia de Cine de Pekín;16
16;Universidad Japonesa de Cinematografía;17
17;Mosfilm;18
18;Untref;1
19;Academia Internacional de Cine;2
20;LaSalle College (Vancouver);4
